5,178,"87123490112",4
4,164,"28761209333",9
4,143,"29384958392",21
4,179,"76130920114",5
4,129,"39420349323",35
4,112,"85748327842",3
4,184,"39483924837",8
4,111,"75869403112",3
4,149,"76854938273",29
4,110,"64758293021",29
4,139,"38475829304",15
4,116,"83495039284",28
1,116,"83495039284",38
1,149,"76854938273",15
1,129,"39420349323",20
1,143,"29384958392",29
1,179,"76130920114",2
1,111,"75869403112",6
1,184,"39483924837",23
1,112,"85748327842",26
1,110,"64758293021",45
1,164,"28761209333",10
1,139,"38475829304",9
